truelabel,score
0,0.032524057
1,0.880925894
1,0.989567101
1,0.244861081
0,0.214057133
1,0.609074473
1,0.898762226
1,0.149306312
0,0.8124367
1,0.753373682
0,0.073040634
1,0.923142612
0,0.613707483
1,0.831308603
0,0.069839522
1,0.909641266
1,0.975148976
1,0.941305816
1,0.913562059
1,0.273037761
1,0.34882766
1,0.299266458
1,0.721620798
0,0.718504369
0,0.040464405
1,0.978792608
1,0.327845305
1,0.656894803
1,0.556386113
0,0.22848694
0,0.60295409
0,0.076285474
1,0.174614489
0,0.051155977
1,0.25505802
1,0.622014523
1,0.064169757
0,0.105062895
0,0.165180609
